,idade,uf_onde_mora,nivel_de_ensino,area_formacao,situacao_trabalho,setor,cargo_atual,nivel_senioridade,tempo_experiencia,JS,Java,R,Python,SQL,Oracle,MySQL,Google_BigQuery,SQL_Server,Databricks,PostgreSQL,nao_utilizamos_cloud,Google_cloud,Azure,AWS,categorias_target
1141,27,SC,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,de 3.001/mês a R$ 6.000/mês
1142,27,BA,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Internet/Ecommerce,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 1 a 2 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,de R$ 12.001/mês a R$ 20.000/mês
1143,27,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Analista de Negócios/Business Analyst,Pleno,de 5 a 6 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,de 3.001/mês a R$ 6.000/mês
1144,27,MT,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,Analista de BI/BI Analyst,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,de 3.001/mês a R$ 6.000/mês
1145,27,SP,Estudante de Graduação,Outra opção,Empregado (CLT),Marketing,,,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,,,,,,,,,,de R$ 6.001/mês a R$ 8.000/mês
1146,27,MG,Não tenho graduação formal,,Empregado (CLT),Marketing,Analista de Dados/Data Analyst,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,até R$ 3.000/mês
1147,27,SP,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Educação,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
1148,27,RS,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 5 a 6 anos,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1149,27,PR,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empreendedor ou Empregado (CNPJ),Entretenimento ou Esportes,Analista de Dados/Data Analyst,Sênior,Menos de 1 ano,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1150,27,AL,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 6.001/mês a R$ 8.000/mês
1151,27,PR,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1152,27,PR,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Empregado (CLT),Área da Saúde,Cientista de Dados/Data Scientist,Pleno,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,de R$ 6.001/mês a R$ 8.000/mês
1153,27,MG,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Varejo,Analista de BI/BI Analyst,Sênior,de 3 a 4 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1154,27,PR,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Indústria,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1155,27,SP,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Empregado (CLT),Área de Consultoria,Analista de Dados/Data Analyst,Pleno,Menos de 1 ano,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,de R$ 6.001/mês a R$ 8.000/mês
1156,27,MS,Mestrado,Química / Física,Empregado (CLT),Setor Público,Analista de BI/BI Analyst,Júnior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,de R$ 6.001/mês a R$ 8.000/mês
1157,27,ES,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Varejo,Analista de Dados/Data Analyst,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,de R$ 8.001/mês a R$ 12.000/mês
1158,27,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,,,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,,,,,,,,,,de R$ 12.001/mês a R$ 20.000/mês
1159,27,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,,,,,,,,,,,,,,,,de R$ 12.001/mês a R$ 20.000/mês
1160,27,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,Analista de Suporte/Analista Técnico,Júnior,de 3 a 4 anos,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,até R$ 3.000/mês
1161,27,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Cientista de Dados/Data Scientist,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,de R$ 12.001/mês a R$ 20.000/mês
1162,27,MG,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Pleno,Menos de 1 ano,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,de R$ 6.001/mês a R$ 8.000/mês
1163,27,SP,Graduação/Bacharelado,Outra opção,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Sênior,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,de R$ 12.001/mês a R$ 20.000/mês
1164,27,SC,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Arquiteto de Dados/Data Architect,Pleno,de 3 a 4 anos,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,de R$ 8.001/mês a R$ 12.000/mês
